"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
208.04,1.639637,208.04,2.466567,1489895.9367019832," Zachary C. Holman,  Antoine Descoeudres,  Loris Barraud,  Fernando Zicarelli Fernandez,  Johannes P. Seif,  Stefaan De Wolf and  Christophe Ballif, 'Current Losses at the Front of Silicon Heterojunction Solar Cells', <i>IEEE Journal of Photovoltaics</i> <b>2</b>(1), pp.7-15, (2012)",p-type amorphous Si.
210.16,1.676088,210.16,2.485929,1486443.906308683,,
212.32,1.71385,212.32,2.505068,1482649.43962752,,
214.52,1.752978,214.52,2.523935,1478496.2994850185,,
216.77,1.793526,216.77,2.54247,1473894.9253074578,,
219.07,1.835547,219.07,2.560611,1468826.714073349,,
221.42,1.879099,221.42,2.578285,1463268.2169380835,,
223.81,1.924238,223.81,2.595415,1457260.4793381444,,
226.26,1.971018,226.26,2.611913,1450643.8067030283,,
228.77,2.019495,228.77,2.627682,1443389.6869642234,,
231.33,2.069721,231.33,2.642617,1435529.5298407467,,
233.95,2.121747,233.95,2.656602,1426964.9628915496,,
236.63,2.17562,236.63,2.669506,1417656.330695833,,
239.37,2.23138,239.37,2.681192,1407563.7030644985,,
242.17,2.289062,242.17,2.691505,1396640.7622909849,,
245.04,2.348693,245.04,2.700279,1384782.348847991,,
247.99,2.41029,247.99,2.707334,1371884.4477944865,,
251,2.473857,251,2.712476,1358007.1194643232,,
254.08,2.539381,254.08,2.715496,1343038.7727412577,,
257.25,2.606834,257.25,2.716172,1326819.2032787243,,
260.49,2.676165,260.49,2.71427,1309398.547638553,,
263.81,2.747299,263.81,2.709542,1290667.8657811296,,
267.23,2.820133,267.23,2.701733,1270477.7973672284,,
270.73,2.894532,270.73,2.690578,1248875.2748066809,,
274.32,2.970327,274.32,2.675811,1225766.7220756428,,
278.01,3.047309,278.01,2.657164,1201068.5805234732,,
281.8,3.125229,281.8,2.634378,1174754.0910686404,,
285.7,3.203794,285.7,2.607203,1146765.109025869,,
289.7,3.282666,289.7,2.575412,1117141.2384075935,,
293.82,3.361462,293.82,2.538803,1085819.1891241889,,
298.06,3.439756,298.06,2.497212,1052838.0693358753,,
302.42,3.517081,302.42,2.450521,1018257.8891696996,,
306.91,3.592937,306.91,2.398666,982129.1563019275,,
311.54,3.666796,311.54,2.341645,944532.9305148965,,
316.31,3.738114,316.31,2.279526,905610.5890129212,,
321.22,3.806339,321.22,2.212453,865528.4342460243,,
326.3,3.870927,326.3,2.140648,824400.1263526428,,
331.53,3.931356,331.53,2.064412,782498.304609853,,
336.94,3.98714,336.94,1.98412,739988.9375960801,,
342.52,4.037841,342.52,1.900217,697151.4384475576,,
348.29,4.083082,348.29,1.813209,654209.3168133332,,
354.26,4.12256,354.26,1.72365,611416.0421566134,,
360.44,4.156047,360.44,1.632129,569025.0223183726,,
366.84,4.1834,366.84,1.539255,527282.9789555509,,
373.47,4.20456,373.47,1.445642,486423.89342339203,,
380.35,4.219547,380.35,1.351897,446652.786497708,,
387.48,4.228456,387.48,1.258602,408177.4333636235,,
394.88,4.23145,394.88,1.166306,371156.6411504961,,
402.57,4.228747,402.57,1.075517,335726.5872778333,,
410.57,4.220616,410.57,0.986696,301999.3574714602,,
418.89,4.207357,418.89,0.900252,270068.52105130407,,
427.56,4.189297,427.56,0.816543,239989.2871307111,,
436.59,4.16678,436.59,0.735876,211807.19994072634,,
446.02,4.140153,446.02,0.658513,185532.45173699615,,
455.86,4.109766,455.86,0.584671,161172.1246318605,,
466.14,4.07596,466.14,0.514535,138710.2051756832,,
476.89,4.039068,476.89,0.448255,118118.19203043828,,
488.16,3.999408,488.16,0.385963,99355.82803650257,,
499.97,3.957288,499.97,0.327774,82383.53424707409,,
512.37,3.913004,512.37,0.273796,67151.12143039374,,
525.39,3.866844,525.39,0.224138,53609.721859213845,,
539.1,3.819093,539.1,0.178916,41705.15238061001,,
553.54,3.770044,553.54,0.138265,31388.684340686694,,
568.77,3.720008,568.77,0.102342,22611.380723574493,,
584.87,3.669335,584.87,0.071338,15327.504349464918,,
601.91,3.618443,601.91,0.045486,9496.335561209175,,
619.96,3.567867,619.96,0.025072,5082.0060010841535,,
639.14,3.518343,639.14,0.010436,2051.860996518014,,
659.53,3.471022,659.53,0.00199,379.1651255071756,,
681.28,3.42849,681.28,0,0,,
704.5,3.393102,704.5,0,0,,
729.37,3.361987,729.37,0,0,,
756.05,3.334025,756.05,0,0,,
784.76,3.308623,784.76,0,0,,
815.74,3.285388,815.74,0,0,,
849.26,3.264038,849.26,0,0,,